Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
rb-good5_1.yaml,tiny,RoleBinding,13,12,0,1,4,0,0,True,6970.21,28.75,[],[],
loki-istio-ingress.yaml,tiny,Ingress,22,4,2,2,2,1,1,True,13599.8,41.83,[],[],
metallb-native_14.yaml,tiny,RoleBinding,17,12,0,1,4,0,0,True,6947.07,31.78,[],[],
secret1010.yaml,tiny,Secret,7,14,0,1,4,0,0,True,7206.64,28.3,[],[],
kustomization6596.yaml,tiny,Kustomization,0,0,0,0,0,0,0,,0.0,0.0,,,CRITICAL: 'NoneType' object is not iterable
netbox-deploy.yaml,tiny,Deployment,37,422,178,72,26,8,8,True,96790.1,124.39,[],[],
hostports01440.yaml,tiny,Pod,29,481,162,1,49,13,13,True,176941.69,192.17,[],[],
sleep-with-configMap-env-file1.yaml,tiny,Deployment,24,422,178,2,26,8,8,True,96771.24,121.97,[],[],
apparmorprofile1711.yaml,tiny,Pod,20,481,187,1,49,13,13,True,177091.28,189.85,[],[],
restrictedvolumes0347.yaml,tiny,Pod,19,481,187,7,49,13,13,True,177096.2,185.87,[],[],
4-service27.yaml,tiny,Service,19,13,2,1,6,1,1,True,27824.51,43.0,[],[],
redis-service180.yaml,tiny,Service,18,13,2,2,6,1,1,True,27602.61,40.3,[],[],
kiali12_8.yaml,tiny,Deployment,84,422,77,10000,26,4,4,True,97789.19,93.91,[],[],
windowshostprocess1459.yaml,tiny,Pod,18,481,195,1,49,15,15,True,176564.87,193.87,[],[],
postgres-service7.yaml,tiny,Service,12,13,2,1,6,1,1,True,27794.15,40.32,[],[],
migration-job.yaml,tiny,Job,23,420,176,3,25,7,7,True,93463.1,155.1,[],[],
rc223.yaml,tiny,ReplicationController,20,420,176,3,25,7,7,True,93400.48,131.73,[],[],
runasnonroot012.yaml,tiny,Pod,15,481,187,1,49,13,13,True,177393.57,186.68,[],[],
runasnonroot211.yaml,tiny,Pod,21,481,187,1,49,13,13,True,177071.57,188.7,[],[],
capabilities_baseline0868.yaml,tiny,Pod,15,481,230,1,49,15,15,True,176392.76,194.51,[],[],
replicaset66.yaml,tiny,ReplicaSet,22,420,176,1,25,7,7,True,93692.75,108.08,[],[],
capabilities_baseline2663.yaml,tiny,Pod,28,481,153,1,49,12,12,True,177208.82,180.07,[],[],
selinuxoptions01226.yaml,tiny,Pod,14,481,187,1,49,13,13,True,177010.85,183.78,[],[],
procmount1345.yaml,tiny,Pod,13,481,217,1,49,15,15,True,176467.98,198.35,[],[],
01-bookinfo1_10.yaml,tiny,Deployment,35,422,178,32,26,8,8,True,96735.39,119.79,[],[],
bad-podcontrollers28_3.yaml,tiny,CronJob,30,420,168,4,25,7,7,True,93478.85,146.39,[],[],
restrictedvolumes13228.yaml,tiny,Pod,21,481,187,1,49,13,13,True,177093.04,179.08,[],[],
pods-good26_1.yaml,tiny,Pod,11,481,187,1,49,13,13,True,177220.72,188.12,[],[],
rbac273.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7307.68,47.65,[],[],
