Feature,Midle,Turned,Value
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_labels_ValueMap,MutatingWebhookConfiguration_metadata_labels_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields,MutatingWebhookConfiguration_metadata_managedFields,managedFields,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_apiVersion,MutatingWebhookConfiguration_metadata_managedFields_apiVersion,apiVersion,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_fieldsType,MutatingWebhookConfiguration_metadata_managedFields_fieldsType,fieldsType,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_fieldsV1,MutatingWebhookConfiguration_metadata_managedFields_fieldsV1,fieldsV1,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_fieldsV1_FieldsV1,MutatingWebhookConfiguration_metadata_managedFields_fieldsV1_FieldsV1,FieldsV1,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_fieldsV1_isEmpty02,MutatingWebhookConfiguration_metadata_managedFields_fieldsV1_isEmpty02,isEmpty02,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_manager,MutatingWebhookConfiguration_metadata_managedFields_manager,manager,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_operation,MutatingWebhookConfiguration_metadata_managedFields_operation,operation,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_operation_Apply,MutatingWebhookConfiguration_metadata_managedFields_operation_Apply,Apply,Apply
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_operation_Update,MutatingWebhookConfiguration_metadata_managedFields_operation_Update,Update,Update
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_subresource,MutatingWebhookConfiguration_metadata_managedFields_subresource,subresource,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_time,MutatingWebhookConfiguration_metadata_managedFields_time,time,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_managedFields_time_Time,MutatingWebhookConfiguration_metadata_managedFields_time_Time,Time,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_name,MutatingWebhookConfiguration_metadata_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_namespace,MutatingWebhookConfiguration_metadata_namespace,namespace,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences,MutatingWebhookConfiguration_metadata_ownerReferences,ownerReferences,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_apiVersion,MutatingWebhookConfiguration_metadata_ownerReferences_apiVersion,apiVersion,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_kind,MutatingWebhookConfiguration_metadata_ownerReferences_kind,kind,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_name,MutatingWebhookConfiguration_metadata_ownerReferences_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_uid,MutatingWebhookConfiguration_metadata_ownerReferences_uid,uid,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_blockOwnerDeletion,MutatingWebhookConfiguration_metadata_ownerReferences_blockOwnerDeletion,blockOwnerDeletion,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_ownerReferences_controller,MutatingWebhookConfiguration_metadata_ownerReferences_controller,controller,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_resourceVersion,MutatingWebhookConfiguration_metadata_resourceVersion,resourceVersion,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_selfLink,MutatingWebhookConfiguration_metadata_selfLink,selfLink,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_uid,MutatingWebhookConfiguration_metadata_uid,uid,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks,MutatingWebhookConfiguration_webhooks,webhooks,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_admissionReviewVersions,MutatingWebhookConfiguration_webhooks_admissionReviewVersions,admissionReviewVersions,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_admissionReviewVersions_StringValue,MutatingWebhookConfiguration_webhooks_admissionReviewVersions_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig,MutatingWebhookConfiguration_webhooks_clientConfig,clientConfig,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig_caBundle,MutatingWebhookConfiguration_webhooks_clientConfig_caBundle,caBundle,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig_service,MutatingWebhookConfiguration_webhooks_clientConfig_service,service,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig_service_name,MutatingWebhookConfiguration_webhooks_clientConfig_service_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig_service_namespace,MutatingWebhookConfiguration_webhooks_clientConfig_service_namespace,namespace,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_webhooks_clientConfig_service_path,MutatingWebhookConfiguration_webhooks_clientConfig_service_path,path,
